account,opportunity_id,sales_agent,deal_stage,product,created_date,close_date,close_value
Hottechi,ZT2NKCV5,Jonathan Berthelot,Won,MG Special,2017-05-25,2017-05-31,55.0
Funholding,I4YPNNTU,Jonathan Berthelot,Won,MG Advanced,2017-05-25,2017-08-09,3808.0
Rundofase,KOYW9WIV,Lajuana Vencill,Won,GTX Basic,2017-05-25,2017-09-23,483.0
Warephase,JRAAPD3L,Lajuana Vencill,Won,MG Advanced,2017-05-25,2017-09-16,3727.0
Faxquote,21JDZDNJ,Markita Hansen,Won,GTXPro,2017-05-25,2017-08-14,4738.0
Ron-tech,EP0H3SJO,Marty Freudenburg,Won,GTX Plus Basic,2017-05-25,2017-08-04,1275.0
Treequote,GIP11NY3,Marty Freudenburg,Won,MG Advanced,2017-05-25,2017-08-19,3428.0
Conecom,7X1D49TU,Moses Frase,Lost,MG Special,2017-05-25,2017-09-11,0.0
Mathtouch,PDXFONE0,Reed Clapper,Won,GTXPro,2017-05-25,2017-06-07,5420.0
Dalttechnology,77WSI0TH,Rosalina Dieter,Lost,MG Special,2017-05-25,2017-08-28,0.0
Dontechi,DJDVV89L,Versie Hillebrand,Won,MG Special,2017-05-25,2017-06-11,59.0
Dontechi,CYSF0YQN,Anna Snelling,Lost,GTX Plus Basic,2017-05-26,2017-08-15,0.0
Rangreen,HEK08UMI,Anna Snelling,Lost,MG Advanced,2017-05-26,2017-08-19,0.0
Silis,GRRY4DQR,Boris Faz,Won,GTX Basic,2017-05-26,2017-09-15,561.0
Zathunicon,S3JAC8GQ,Boris Faz,Won,GTX Plus Basic,2017-05-26,2017-08-10,1354.0
The New York Inquirer,E3JP7HCX,Cassey Cress,Won,MG Special,2017-05-26,2017-09-18,44.0
Mathtouch,FF5G00YD,Corliss Cosme,Won,GTX Basic,2017-05-26,2017-09-18,560.0
Donquadtech,5975TDTI,Corliss Cosme,Won,GTXPro,2017-05-26,2017-06-09,5324.0
Faxquote,GZU4ZSFE,Kami Bicknell,Won,GTXPro,2017-05-26,2017-09-23,4924.0
Golddex,E4KL4NGF,Kary Hendrixson,Won,GTX Basic,2017-05-26,2017-08-07,571.0
Konex,QCH2R1VO,Kary Hendrixson,Won,MG Advanced,2017-05-26,2017-08-12,4022.0
Rundofase,SH6F6COK,Lajuana Vencill,Lost,GTX Basic,2017-05-26,2017-08-12,0.0
Groovestreet,KOJ4SQ1T,Maureen Marcano,Lost,MG Special,2017-05-26,2017-08-22,0.0
Faxquote,DMUQAWQH,Maureen Marcano,Won,GTX Plus Basic,2017-05-26,2017-06-12,1030.0
Bioholding,C2RL3DUQ,Moses Frase,Lost,MG Advanced,2017-05-26,2017-08-09,0.0
Streethex,2LTS2CL8,Niesha Huffines,Lost,MG Special,2017-05-26,2017-05-31,0.0
Codehow,113O9JCA,Versie Hillebrand,Lost,MG Special,2017-05-26,2017-09-09,0.0
Hatfan,54XWHO19,Vicki Laflamme,Lost,GTX Basic,2017-05-26,2017-08-03,0.0
Kan-code,09RN3MHV,Vicki Laflamme,Won,GTXPro,2017-05-26,2017-09-21,5074.0
Vehement Capital Partners,YW14K7PE,Wilburn Farren,Won,GTX Plus Pro,2017-05-26,2017-09-23,5198.0
Faxquote,9UYUV724,Zane Levy,Lost,GTX Plus Pro,2017-05-26,2017-09-06,0.0
Betatech,UZI6MKVR,Anna Snelling,Lost,MG Special,2017-05-27,2017-08-24,0.0
Conecom,N1H9ILZ9,Anna Snelling,Won,GTX Basic,2017-05-27,2017-09-03,576.0
Stanredtax,V8RYC18P,Anna Snelling,Won,MG Special,2017-05-27,2017-08-21,57.0
Konex,5OQELHMF,Cassey Cress,Lost,GTXPro,2017-05-27,2017-08-14,0.0
Condax,NCF4DT7H,Cecily Lampkin,Lost,MG Advanced,2017-05-27,2017-06-05,0.0
Codehow,L9WWFYQW,Darcel Schlecht,Lost,GTXPro,2017-05-27,2017-08-18,0.0
Scottech,AR2T4LAR,Darcel Schlecht,Won,GTXPro,2017-05-27,2017-08-22,4432.0
Kinnamplus,GPC8PLM7,Donn Cantrell,Won,GTX Basic,2017-05-27,2017-09-02,481.0
Y-corporation,YA822MOB,James Ascencio,Lost,GTX Plus Pro,2017-05-27,2017-08-22,0.0
Newex,JBCQ1ODR,James Ascencio,Won,GTXPro,2017-05-27,2017-08-28,5293.0
Codehow,M26BSX5S,Jonathan Berthelot,Lost,GTXPro,2017-05-27,2017-08-06,0.0
Hottechi,PLYYX5CD,Jonathan Berthelot,Won,GTX Plus Pro,2017-05-27,2017-08-17,5769.0
Globex Corporation,JP2EY6QU,Jonathan Berthelot,Won,GTXPro,2017-05-27,2017-09-02,4929.0
Rundofase,48INT6OA,Jonathan Berthelot,Won,GTXPro,2017-05-27,2017-08-05,4924.0
Blackzim,EVDMSM4N,Kami Bicknell,Lost,GTX Plus Basic,2017-05-27,2017-08-14,0.0
Faxquote,9FH4OP4U,Kary Hendrixson,Won,GTX Plus Pro,2017-05-27,2017-08-04,5312.0
Nam-zim,N128I4H8,Kary Hendrixson,Won,MG Special,2017-05-27,2017-06-07,66.0
Toughzap,8NKLCSES,Marty Freudenburg,Won,GTX Plus Basic,2017-05-27,2017-06-18,1115.0
Conecom,1ZMWMU21,Marty Freudenburg,Won,MG Advanced,2017-05-27,2017-08-23,3407.0
Cancity,R617R51D,Niesha Huffines,Won,GTX Basic,2017-05-27,2017-09-03,540.0
Acme Corporation,W8E2YLNY,Reed Clapper,Won,GTX Plus Basic,2017-05-27,2017-09-04,1095.0
Silis,TX9VFL4J,Reed Clapper,Won,GTX Plus Basic,2017-05-27,2017-08-23,1019.0
Green-Plus,5ELX1QYM,Vicki Laflamme,Lost,GTX Plus Basic,2017-05-27,2017-05-30,0.0
Scotfind,RTQVKK41,Vicki Laflamme,Lost,GTXPro,2017-05-27,2017-08-17,0.0
Green-Plus,9DEDEQ5O,Vicki Laflamme,Won,GTXPro,2017-05-27,2017-09-14,4477.0
Hatfan,Z8JLMCOM,Vicki Laflamme,Won,GTXPro,2017-05-27,2017-06-02,4644.0
Finhigh,1O58TWRZ,Anna Snelling,Lost,GTX Basic,2017-05-28,2017-08-20,0.0
Cancity,RHOZIG9P,Anna Snelling,Lost,GTX Plus Basic,2017-05-28,2017-06-13,0.0
Zotware,52Q1PYGW,Boris Faz,Won,GTX Plus Basic,2017-05-28,2017-06-08,940.0
Acme Corporation,56ZJUSNG,Daniell Hammack,Won,GTXPro,2017-05-28,2017-06-07,5378.0
Kan-code,Y92RU9V8,Daniell Hammack,Won,GTXPro,2017-05-28,2017-06-15,4712.0
Bioholding,SXV6VZVC,Darcel Schlecht,Won,GTX Plus Basic,2017-05-28,2017-08-25,1118.0
Ganjaflex,BGY307FC,Donn Cantrell,Won,GTX Plus Pro,2017-05-28,2017-08-11,5695.0
Yearin,BAN0BVHW,Donn Cantrell,Won,GTXPro,2017-05-28,2017-08-05,4462.0
Plussunin,GV9G96Z1,Garret Kinder,Lost,GTXPro,2017-05-28,2017-08-30,0.0
Singletechno,Z75R686C,Hayden Neloms,Won,MG Advanced,2017-05-28,2017-08-28,3701.0
J-Texon,12GLKKV4,Markita Hansen,Won,GTX Plus Basic,2017-05-28,2017-06-08,941.0
Hatfan,VDD7H92Q,Maureen Marcano,Won,GTX Plus Basic,2017-05-28,2017-06-05,1171.0
Rantouch,83JP1K4E,Rosalina Dieter,Won,GTK 500,2017-05-28,2017-08-28,24899.0
Rantouch,ME3H0RUJ,Rosalina Dieter,Won,MG Advanced,2017-05-28,2017-09-21,3418.0
Hottechi,W8E76HJG,Vicki Laflamme,Won,GTX Basic,2017-05-28,2017-06-08,537.0
Rantouch,IMB2N710,Zane Levy,Won,GTX Plus Basic,2017-05-28,2017-08-04,1053.0
Genco Pura Olive Oil Company,OJBBZHM4,Anna Snelling,Won,GTX Basic,2017-05-29,2017-06-11,497.0
Zencorporation,2PQORQGO,Boris Faz,Won,GTX Plus Pro,2017-05-29,2017-09-13,5714.0
Bioholding,I3RW4OMF,Cecily Lampkin,Won,GTX Basic,2017-05-29,2017-08-29,611.0
Opentech,LG8ZAMCB,Corliss Cosme,Won,GTXPro,2017-05-29,2017-06-11,5642.0
Umbrella Corporation,XJ8UTM6B,Corliss Cosme,Won,GTXPro,2017-05-29,2017-06-11,5081.0
Cancity,CVGTFBZE,Darcel Schlecht,Won,GTXPro,2017-05-29,2017-08-02,3985.0
Bluth Company,RW02HG5P,Donn Cantrell,Won,MG Advanced,2017-05-29,2017-06-11,3313.0
Plexzap,7W8CQJ2Z,Elease Gluck,Won,MG Advanced,2017-05-29,2017-06-11,3850.0
Scottech,M03IHS3P,Gladys Colclough,Won,GTX Plus Basic,2017-05-29,2017-08-06,917.0
Streethex,GX3SHSEA,Gladys Colclough,Won,MG Special,2017-05-29,2017-08-08,56.0
Lexiqvolax,9KTHISLX,James Ascencio,Lost,MG Advanced,2017-05-29,2017-08-18,0.0
Newex,Q808L4HZ,James Ascencio,Won,GTXPro,2017-05-29,2017-08-07,5194.0
Bioholding,IWQP4M72,Jonathan Berthelot,Lost,GTX Plus Basic,2017-05-29,2017-08-29,0.0
Golddex,3GOXMQPF,Kary Hendrixson,Won,GTX Plus Basic,2017-05-29,2017-08-17,1002.0
Hottechi,1WZ5N86Q,Kary Hendrixson,Won,GTX Plus Pro,2017-05-29,2017-08-17,6042.0
Sonron,C3QK8M7F,Markita Hansen,Won,GTX Plus Pro,2017-05-29,2017-06-15,4423.0
Groovestreet,9BXXDYH9,Markita Hansen,Won,MG Special,2017-05-29,2017-08-18,45.0
Kan-code,4X3H9YD5,Rosalina Dieter,Won,GTK 500,2017-05-29,2017-08-29,25791.0
Mathtouch,K83L4L0I,Rosie Papadopoulos,Won,MG Advanced,2017-05-29,2017-06-17,2918.0
Streethex,E9C7WXQL,Versie Hillebrand,Won,GTX Plus Basic,2017-05-29,2017-09-19,959.0
Green-Plus,AAVJHH3M,Zane Levy,Won,GTXPro,2017-05-29,2017-06-06,5532.0
Ontomedia,NEVHU7GV,Boris Faz,Lost,GTX Plus Basic,2017-05-30,2017-08-07,0.0
Xx-zobam,POLWB0UX,Corliss Cosme,Won,GTXPro,2017-05-30,2017-06-06,4687.0
dambase,ZSHK2ZXD,Darcel Schlecht,Won,GTX Basic,2017-05-30,2017-06-21,602.0
Condax,PF7GFMLQ,Donn Cantrell,Won,GTX Basic,2017-05-30,2017-08-10,595.0
Funholding,LKMZWCKQ,Gladys Colclough,Lost,GTXPro,2017-05-30,2017-09-06,0.0
Zoomit,3D6ZHLF0,Kami Bicknell,Lost,GTX Basic,2017-05-30,2017-08-05,0.0
Blackzim,3R8PJCCW,Kary Hendrixson,Won,MG Advanced,2017-05-30,2017-09-03,2868.0
Finhigh,CPWTJ2WC,Marty Freudenburg,Won,MG Advanced,2017-05-30,2017-06-03,3236.0
Ganjaflex,QZLWUJEJ,Reed Clapper,Lost,GTXPro,2017-05-30,2017-05-31,0.0
Golddex,NDVZAHYA,Vicki Laflamme,Won,GTX Basic,2017-05-30,2017-08-15,524.0
Golddex,1R8VKE8O,Vicki Laflamme,Won,GTX Plus Pro,2017-05-30,2017-08-15,5631.0
Sonron,LNX7ULEG,Zane Levy,Won,GTX Plus Pro,2017-05-30,2017-08-22,5572.0
Condax,42N0IWF8,Zane Levy,Won,GTXPro,2017-05-30,2017-06-05,5644.0
Zumgoity,N60TC14O,Cecily Lampkin,Lost,GTX Plus Pro,2017-05-31,2017-08-05,0.0
Donquadtech,V6YYDG56,Daniell Hammack,Lost,GTX Plus Pro,2017-05-31,2017-06-16,0.0
Inity,S1AU0IZX,Darcel Schlecht,Won,GTXPro,2017-05-31,2017-06-04,4192.0
Fasehatice,GFXKHCEM,Elease Gluck,Lost,MG Special,2017-05-31,2017-09-05,0.0
Blackzim,YH2NHVXC,Elease Gluck,Lost,MG Advanced,2017-05-31,2017-08-26,0.0
Sonron,JSNPH01N,Elease Gluck,Won,MG Special,2017-05-31,2017-06-10,56.0
Gekko & Co,CQDULMXS,Garret Kinder,Won,GTX Basic,2017-05-31,2017-08-05,607.0
Condax,VKM187MX,Gladys Colclough,Won,MG Special,2017-05-31,2017-06-09,48.0
Singletechno,4IUJNFPF,James Ascencio,Lost,GTX Basic,2017-05-31,2017-08-18,0.0
Blackzim,ZE7PM90V,James Ascencio,Won,GTX Basic,2017-05-31,2017-08-23,570.0
Singletechno,CAAYFKK8,James Ascencio,Won,GTX Plus Basic,2017-05-31,2017-06-04,1056.0
Lexiqvolax,NQZNAEYQ,Kami Bicknell,Won,GTX Basic,2017-05-31,2017-09-03,560.0
Plexzap,J47DPNB5,Kary Hendrixson,Lost,GTX Plus Pro,2017-05-31,2017-08-03,0.0
Groovestreet,37B8ES7X,Kary Hendrixson,Won,GTX Basic,2017-05-31,2017-06-21,588.0
Y-corporation,KYABDCKE,Kary Hendrixson,Won,GTXPro,2017-05-31,2017-09-02,4356.0
Labdrill,3CP9VXC1,Kary Hendrixson,Won,MG Special,2017-05-31,2017-08-15,69.0
Rangreen,9XGT3451,Lajuana Vencill,Won,GTX Basic,2017-05-31,2017-08-02,505.0
Sonron,AG0H8IAZ,Markita Hansen,Won,GTX Basic,2017-05-31,2017-09-23,510.0
Zoomit,28FTXKAB,Markita Hansen,Won,MG Advanced,2017-05-31,2017-09-23,3722.0
Finjob,ROUOR5L0,Maureen Marcano,Won,GTX Plus Basic,2017-05-31,2017-08-02,1145.0
Streethex,QPMZ5RG0,Moses Frase,Won,MG Special,2017-05-31,2017-08-27,53.0
Kan-code,2PMIYAFN,Reed Clapper,Won,GTX Plus Basic,2017-05-31,2017-06-15,1120.0
Initech,CRWE8FRT,Reed Clapper,Won,MG Advanced,2017-05-31,2017-09-22,3404.0
Zumgoity,FC1LS6PY,Versie Hillebrand,Lost,MG Advanced,2017-05-31,2017-06-08,0.0
Ron-tech,6FI9HAX7,Versie Hillebrand,Won,MG Special,2017-05-31,2017-06-13,46.0
The New York Inquirer,JL86Q0B4,Wilburn Farren,Won,MG Special,2017-05-31,2017-06-14,53.0
Singletechno,Y2A8EUBM,Zane Levy,Lost,GTX Basic,2017-05-31,2017-08-20,0.0
Condax,C2MKJA8V,Zane Levy,Won,GTXPro,2017-05-31,2017-06-05,4988.0
Rantouch,IJ4Y77D9,Zane Levy,Won,MG Special,2017-05-31,2017-08-12,53.0
Isdom,CGCPVYNI,Anna Snelling,Won,GTX Basic,2017-06-01,2017-06-08,523.0
Hottechi,ST8ZOXKI,Anna Snelling,Won,MG Special,2017-06-01,2017-06-11,63.0
Stanredtax,P07OGZ3F,Anna Snelling,Won,MG Special,2017-06-01,2017-08-28,54.0
Yearin,0DLEXLEV,Boris Faz,Won,GTX Plus Pro,2017-06-01,2017-09-07,6117.0
Ontomedia,27UN3UX8,Cassey Cress,Won,GTX Plus Pro,2017-06-01,2017-06-09,5112.0
Kan-code,NR5D7201,Corliss Cosme,Won,MG Advanced,2017-06-01,2017-09-03,3527.0
Konmatfix,LKBS2IJC,Darcel Schlecht,Lost,GTX Plus Pro,2017-06-01,2017-06-11,0.0
Finhigh,MFO940S8,Darcel Schlecht,Lost,MG Special,2017-06-01,2017-08-24,0.0
Warephase,5O0597PP,Darcel Schlecht,Lost,MG Advanced,2017-06-01,2017-08-07,0.0
Inity,C4FEG98K,Darcel Schlecht,Won,GTX Basic,2017-06-01,2017-06-14,565.0
Ron-tech,EKH5O1HH,Darcel Schlecht,Won,MG Advanced,2017-06-01,2017-06-09,3771.0
Fasehatice,BZ9C1LQT,Elease Gluck,Lost,MG Advanced,2017-06-01,2017-08-09,0.0
Scottech,ZT6D57ED,Gladys Colclough,Won,GTX Plus Pro,2017-06-01,2017-09-02,6274.0
Plexzap,NKERMTB8,Hayden Neloms,Lost,MG Advanced,2017-06-01,2017-08-03,0.0
Sunnamplex,Q67320CY,Hayden Neloms,Won,MG Advanced,2017-06-01,2017-08-17,3480.0
Fasehatice,K5NFTQRI,James Ascencio,Won,GTX Plus Pro,2017-06-01,2017-08-16,5770.0
Hottechi,IJ7B896N,Kary Hendrixson,Lost,MG Advanced,2017-06-01,2017-09-12,0.0
Statholdings,8KBVRQHD,Lajuana Vencill,Lost,GTX Plus Pro,2017-06-01,2017-08-29,0.0
Rangreen,AGZ87JFX,Moses Frase,Lost,GTX Basic,2017-06-01,2017-08-01,0.0
Domzoom,OBGCQ1BK,Niesha Huffines,Lost,GTX Basic,2017-06-01,2017-09-21,0.0
Ron-tech,K05LLUU4,Niesha Huffines,Lost,GTX Basic,2017-06-01,2017-09-25,0.0
Konex,9WISPXZW,Reed Clapper,Won,GTX Basic,2017-06-01,2017-06-12,562.0
Mathtouch,4ZGA57SX,Rosie Papadopoulos,Won,GTXPro,2017-06-01,2017-08-03,4686.0
Newex,6ONKN1IM,Vicki Laflamme,Lost,MG Advanced,2017-06-01,2017-08-22,0.0
Opentech,JVIIWJDL,Violet Mclelland,Won,MG Special,2017-06-01,2017-09-02,38.0
Finjob,W8M8XI8Y,Zane Levy,Won,MG Advanced,2017-06-01,2017-08-05,3184.0
Rundofase,MELHF0ZP,Anna Snelling,Won,GTX Plus Pro,2017-06-02,2017-09-17,5373.0
Bluth Company,6SV2WYK4,Boris Faz,Won,GTX Plus Basic,2017-06-02,2017-09-05,1239.0
Isdom,6JEAYHOE,Cecily Lampkin,Lost,MG Advanced,2017-06-02,2017-06-18,0.0
Streethex,IKQSEYPT,Cecily Lampkin,Won,MG Special,2017-06-02,2017-06-12,52.0
Ganjaflex,ZN0FWO0L,Corliss Cosme,Won,GTX Basic,2017-06-02,2017-09-19,651.0
dambase,CPL37MZC,Darcel Schlecht,Won,GTX Plus Pro,2017-06-02,2017-08-02,6026.0
Green-Plus,GM68OLDH,James Ascencio,Won,GTX Plus Pro,2017-06-02,2017-09-05,5569.0
Dontechi,W604BPPE,Jonathan Berthelot,Lost,GTX Basic,2017-06-02,2017-08-25,0.0
Hottechi,GIJ14130,Jonathan Berthelot,Won,GTX Basic,2017-06-02,2017-09-04,519.0
Scotfind,CUA83384,Kami Bicknell,Won,GTX Basic,2017-06-02,2017-09-05,558.0
Sonron,ZGQI86AQ,Kary Hendrixson,Won,GTX Basic,2017-06-02,2017-09-05,523.0
Scotfind,L8NLCWFS,Kary Hendrixson,Won,GTXPro,2017-06-02,2017-08-20,4869.0
Funholding,UPHLXZ3M,Lajuana Vencill,Lost,MG Special,2017-06-02,2017-08-02,0.0
Stanredtax,JDFQYP5L,Lajuana Vencill,Won,GTX Basic,2017-06-02,2017-08-09,588.0
Condax,06AIY3IS,Marty Freudenburg,Won,GTX Plus Pro,2017-06-02,2017-08-21,5712.0
Golddex,4LQAN2JX,Maureen Marcano,Won,GTX Plus Basic,2017-06-02,2017-08-29,1046.0
Singletechno,84QGC91P,Maureen Marcano,Won,MG Special,2017-06-02,2017-08-17,54.0
Xx-zobam,98MASV7P,Reed Clapper,Won,GTXPro,2017-06-02,2017-08-12,4933.0
Umbrella Corporation,QFBBRJL5,Reed Clapper,Won,MG Special,2017-06-02,2017-09-26,60.0
Silis,XCGW5K0N,Violet Mclelland,Won,GTX Basic,2017-06-02,2017-09-12,572.0
Condax,UUF8Z53N,Violet Mclelland,Won,MG Special,2017-06-02,2017-08-30,55.0
Xx-zobam,J6MIKNYJ,Violet Mclelland,Won,MG Special,2017-06-02,2017-08-22,51.0
Vehement Capital Partners,3W4AWYSK,Cassey Cress,Lost,GTX Plus Pro,2017-06-03,2017-08-24,0.0
Opentech,VBN5T6F8,Cassey Cress,Won,MG Special,2017-06-03,2017-08-31,59.0
Betasoloin,W1J3L0EU,Daniell Hammack,Won,GTXPro,2017-06-03,2017-06-06,4492.0
Treequote,45CMXP2K,Darcel Schlecht,Lost,GTX Basic,2017-06-03,2017-08-03,0.0
Codehow,6OJAC85F,Darcel Schlecht,Lost,GTXPro,2017-06-03,2017-08-29,0.0
Zathunicon,K94WM7M4,Donn Cantrell,Lost,MG Advanced,2017-06-03,2017-08-27,0.0
Plexzap,31KRB7R2,James Ascencio,Lost,GTX Basic,2017-06-03,2017-08-12,0.0
Fasehatice,5PG1KSKD,James Ascencio,Lost,GTXPro,2017-06-03,2017-08-06,0.0
Treequote,LDAXEBR0,Jonathan Berthelot,Won,GTX Basic,2017-06-03,2017-06-22,639.0
Globex Corporation,NGTMVX1C,Jonathan Berthelot,Won,GTX Plus Basic,2017-06-03,2017-06-21,1040.0
Finhigh,SFBHZLHK,Jonathan Berthelot,Won,GTXPro,2017-06-03,2017-09-12,4138.0
Plexzap,13PPMGNM,Kami Bicknell,Lost,GTX Plus Basic,2017-06-03,2017-08-07,0.0
Funholding,6GY8Q8F0,Lajuana Vencill,Won,MG Special,2017-06-03,2017-09-23,54.0
Inity,5JIXFMFY,Lajuana Vencill,Won,MG Advanced,2017-06-03,2017-09-14,3438.0
Finjob,JBY30BSR,Markita Hansen,Lost,GTXPro,2017-06-03,2017-08-05,0.0
Isdom,69XL3JMB,Marty Freudenburg,Won,GTX Plus Basic,2017-06-03,2017-08-05,1017.0
Singletechno,DYWMK8OF,Rosalina Dieter,Won,MG Advanced,2017-06-03,2017-09-19,3314.0
Cancity,GG8XQD8Z,Versie Hillebrand,Lost,MG Special,2017-06-03,2017-08-12,0.0
Rangreen,URT8A7OQ,Versie Hillebrand,Won,MG Special,2017-06-03,2017-08-24,51.0
Kan-code,LGO0XF4X,Vicki Laflamme,Won,MG Special,2017-06-03,2017-09-10,50.0
Zathunicon,Y46OEBEH,Violet Mclelland,Won,MG Special,2017-06-03,2017-06-09,54.0
Scottech,G54JJCMX,Anna Snelling,Lost,GTX Plus Pro,2017-06-04,2017-08-18,0.0
Rangreen,BPQ0358T,Anna Snelling,Lost,MG Advanced,2017-06-04,2017-09-16,0.0
Condax,EPH7L4K0,Boris Faz,Lost,GTXPro,2017-06-04,2017-09-05,0.0
Hottechi,SMU4542Q,Cecily Lampkin,Lost,GTX Plus Basic,2017-06-04,2017-08-16,0.0
Ontomedia,E884CL8B,Daniell Hammack,Won,GTXPro,2017-06-04,2017-06-17,4942.0
Initech,4K8N65EM,Donn Cantrell,Lost,MG Special,2017-06-04,2017-08-06,0.0
Kan-code,KVTBYOVD,Donn Cantrell,Won,GTXPro,2017-06-04,2017-06-14,4612.0
Zotware,ZA6CBQAL,Donn Cantrell,Won,GTXPro,2017-06-04,2017-06-20,4308.0
Massive Dynamic,Y6YZXVTF,Donn Cantrell,Won,MG Advanced,2017-06-04,2017-09-04,2876.0
Warephase,SHETLR3T,Gladys Colclough,Won,GTX Plus Pro,2017-06-04,2017-08-30,4990.0
Scotfind,EL03YRD0,Hayden Neloms,Lost,GTX Plus Basic,2017-06-04,2017-09-29,0.0
Sonron,3KZUBSRU,Hayden Neloms,Won,GTX Plus Basic,2017-06-04,2017-09-09,1024.0
Lexiqvolax,FA6JQ4V2,Kami Bicknell,Won,MG Special,2017-06-04,2017-09-16,53.0
Singletechno,N7WUBQR0,Kary Hendrixson,Lost,GTX Plus Basic,2017-06-04,2017-09-17,0.0
J-Texon,9KJ89VHI,Kary Hendrixson,Won,GTX Basic,2017-06-04,2017-09-01,525.0
Nam-zim,N3CN7GCZ,Kary Hendrixson,Won,MG Special,2017-06-04,2017-08-27,60.0
Scotfind,KAHKF9H1,Markita Hansen,Won,GTX Plus Basic,2017-06-04,2017-06-08,967.0
Rantouch,P4UJ64QM,Maureen Marcano,Lost,GTX Basic,2017-06-04,2017-08-14,0.0
Initech,IHF5GR01,Reed Clapper,Won,GTX Basic,2017-06-04,2017-06-14,524.0
J-Texon,81DUFIPO,Rosalina Dieter,Won,MG Special,2017-06-04,2017-09-10,57.0
Bubba Gump,58K44TMD,Rosie Papadopoulos,Lost,MG Advanced,2017-06-04,2017-06-20,0.0
Warephase,EEBOSTAA,Versie Hillebrand,Won,GTX Plus Pro,2017-06-04,2017-06-13,5056.0
Konex,9DDHZUZB,Vicki Laflamme,Won,GTX Basic,2017-06-04,2017-06-08,600.0
Donware,IWLEND3K,Cassey Cress,Won,GTX Basic,2017-06-05,2017-09-26,633.0
Vehement Capital Partners,VICY80KW,Cassey Cress,Won,GTXPro,2017-06-05,2017-08-27,4994.0
Kan-code,H35AXY3M,Corliss Cosme,Won,GTX Plus Basic,2017-06-05,2017-06-10,899.0
Scottech,1UHFKBP6,Darcel Schlecht,Lost,GTXPro,2017-06-05,2017-08-06,0.0
dambase,VF7DWQIH,Darcel Schlecht,Won,GTX Plus Pro,2017-06-05,2017-08-25,5421.0
Genco Pura Olive Oil Company,C7NW3JB2,Darcel Schlecht,Won,GTXPro,2017-06-05,2017-08-23,5223.0
Rundofase,SUABQAC0,Darcel Schlecht,Won,GTXPro,2017-06-05,2017-06-18,4794.0
Toughzap,6JWA8DFJ,Darcel Schlecht,Won,GTXPro,2017-06-05,2017-09-06,4903.0
Dontechi,OEBJXZN6,Darcel Schlecht,Won,MG Advanced,2017-06-05,2017-08-13,3625.0
Globex Corporation,QMUBRAT2,Gladys Colclough,Lost,GTX Basic,2017-06-05,2017-08-28,0.0
Rundofase,W5P1OLUL,Jonathan Berthelot,Won,GTX Basic,2017-06-05,2017-08-03,554.0
Singletechno,JP4H1WG4,Kami Bicknell,Lost,GTX Basic,2017-06-05,2017-09-03,0.0
Sunnamplex,580XZTEO,Kami Bicknell,Lost,GTX Basic,2017-06-05,2017-06-11,0.0
Hatfan,MASS6JEE,Kary Hendrixson,Won,GTXPro,2017-06-05,2017-09-05,5039.0
Faxquote,XNC9UMYH,Markita Hansen,Won,GTX Plus Basic,2017-06-05,2017-08-30,1169.0
Toughzap,AUEAKRQV,Marty Freudenburg,Won,GTXPro,2017-06-05,2017-09-19,5055.0
Scottech,08Q8A6M9,Marty Freudenburg,Won,MG Special,2017-06-05,2017-06-22,60.0
Condax,6F8IL0XV,Maureen Marcano,Lost,GTX Plus Basic,2017-06-05,2017-08-27,0.0
Golddex,NTHLG5DT,Maureen Marcano,Won,GTX Basic,2017-06-05,2017-09-08,595.0
Plexzap,Y5OZ7VOF,Maureen Marcano,Won,MG Advanced,2017-06-05,2017-06-21,3227.0
Konmatfix,9HLQVY37,Moses Frase,Lost,GTX Plus Basic,2017-06-05,2017-06-11,0.0
Ron-tech,8C3LOLPY,Moses Frase,Lost,GTX Plus Basic,2017-06-05,2017-08-14,0.0
Hottechi,QMJHLT1V,Moses Frase,Won,MG Special,2017-06-05,2017-09-20,59.0
Inity,Q5JU0LZJ,Niesha Huffines,Won,GTX Basic,2017-06-05,2017-09-26,479.0
Globex Corporation,IRODLEGG,Niesha Huffines,Won,MG Advanced,2017-06-05,2017-09-14,3449.0
Massive Dynamic,HTA6XLY3,Reed Clapper,Won,MG Special,2017-06-05,2017-09-24,54.0
Hatfan,XW7J3TI2,Vicki Laflamme,Lost,MG Advanced,2017-06-05,2017-08-14,0.0
Doncon,1BV5JLZV,Vicki Laflamme,Won,MG Special,2017-06-05,2017-09-01,59.0
Acme Corporation,84D18IA1,Violet Mclelland,Lost,MG Special,2017-06-05,2017-08-01,0.0
Finjob,41IM8V9E,Zane Levy,Lost,GTX Basic,2017-06-05,2017-09-27,0.0
Streethex,NXFAXN16,Anna Snelling,Won,MG Special,2017-06-06,2017-09-27,55.0
Initech,FXXEZ5U2,Cassey Cress,Won,MG Advanced,2017-06-06,2017-08-09,3042.0
Ganjaflex,3F81XLI7,Corliss Cosme,Won,GTXPro,2017-06-06,2017-08-11,4230.0
Initech,ID4LC9V5,Daniell Hammack,Won,GTX Plus Basic,2017-06-06,2017-08-15,979.0
Zotware,IPQFYK0E,Daniell Hammack,Won,GTX Plus Basic,2017-06-06,2017-06-17,1064.0
Xx-zobam,UU0F81HS,Daniell Hammack,Won,GTXPro,2017-06-06,2017-08-20,5166.0
